Connectives,Adverbials,Na.Adjectives,I.Adjectives,Adverbs,Onomatope,Interrogatives
,,不可解,,矢鱈,,
,,パブリック,,はっと,,
,,大きめ,,さっさと,,
,,あからさま,,生き生き,,
,,まめ,,次いで,,
,,窮屈,,無理矢理,,
,,確固,,ゆったり,,
,,朧,,案外,,
,,多め,,即,,
,,緊密,,悉く,,
,,無闇,,ともあれ,,
,,早急,,散々,,
,,冷ややか,,早々,,
,,怪訝,,ぱっと,,
,,大雑把,,こっそり,,
,,物的,,所詮,,
,,頑丈,,にこり,,
,,切実,,ちらっと,,
,,勇敢,,辛うじて,,
,,格段,,ぐっと,,
,,気掛かり,,がっかり,,
,,盛大,,今一,,
,,別個,,尚更,,
,,長閑,,どきどき,,
,,量的,,にこにこ,,
,,裏腹,,いっそ,,
,,整然,,しょっちゅう,,
,,下品,,些とも,,
,,可憐,,甚だ,,
,,黙々,,当面,,
,,小まめ,,元来,,
,,茫然,,そこそこ,,
,,手頃,,きっぱり,,
,,混沌,,割と,,
,,唖然,,逸早く,,
,,虚ろ,,きっちり,,
,,繁華,,熟,,
,,丹念,,ぐるぐる,,
,,高め,,予て,,
,,天晴,,直様,,
,,簡素,,うんざり,,
,,劣等,,ひっそり,,
,,悠々,,大層,,
,,大々,,ちらり,,
,,美妙,,ぴんと,,
,,寛大,,ふっと,,
,,しなやか,,すっと,,
,,にこやか,,きらきら,,
,,利口,,一歩,,
,,有数,,殊更,,
,,安らか,,何せ,,
,,クリーン,,突如,,
,,心的,,ずばり,,
,,零細,,ごろごろ,,
,,周到,,見る見る,,
,,自由,,にやり,,
,,積極的,,うやむやに,,
,,共通,,殊に,,
,,緊急,,宛ら,,
,,複雑,,当分,,
,,,,自ずと,,
,,,,程,,
,,,,普通,,
,,,,特別,,
,,,,正直,,
,,,,一番,,
,,,,事実,,
,,,,偶然,,
,,,,現在,,
,,,,自然,,
,,,,屡々,,
,,,,余り,,
,,,,大勢,,
,,,,迚も,,
,,,,いつも,,
,,,,一寸,,
,,,,どうして,,
,,,,近く,,
,,,,丁度,,
,,,,初めて,,
,,,,色々,,
,,,,段々,,
,,,,真っ直ぐ,,
,,,,以上,,
,,,,決して,,
,,,,十分,,
,,,,一生懸命,,
,,,,必ず,,
,,,,最近,,
,,,,最初,,
,,,,昔,,
,,,,今度,,
,,,,途中,,
,,,,一度,,
,,,,場合,,
,,,,大抵,,
,,,,特に,,
,,,,例えば,,
,,,,大体,,
,,,,ほとんど,,
,,,,きっと,,
,,,,しばらく,,
,,,,確り,,
,,,,到頭,,
,,,,これから,,
,,,,それ程,,
,,,,偶に,,
,,,,なるほど,,
,,,,ちっとも,,
,,,,成るべく,,
,,,,当時,,
,,,,通り,,
,,,,なにか,,
,,,,なにも,,
,,,,最も,,
,,,,突然,,
,,,,只,,
,,,,結局,,
,,,,大いに,,
,,,,全然,,
,,,,更に,,
,,,,既に,,
,,,,常に,,
,,,,いっそう,,
,,,,是非,,
,,,,無事,,
,,,,恐らく,,
,,,,全体,,
,,,,終日,,
