Words,Meaning
こうえんする,lecture
こうばん,police box
こんしゅうまつ,this weekend
さそう,invite
しっぱいする,mistake
しぶや,Shibuya
じぶん,oneself
しゅうがくりょこう,school excursion
じゅうしょ,address
しょうらい,in the future
すっぱい,sour
せいじ,politics
せいじてきな,political
せつやくする,"saving, thrift"
せんもんてきな,professional
だいじな,important
たいしかん,embassy
たてもの,building
ちがい,difference
テレビきょく,TV station
どういう ,what kind of
とうきょうタワー,Tokyo Tower
とどける,deliver
にほんじんてきな,Japanese
のぼる,climb
バーベキュー,barbecue
ハイキング,hiking
はずかしい,"ashamed, embarrassed"
ふんかする,eruption
ぶんかてきな,cultural
ベランダ,balcony
へんな,strange
べんごし,lawyer
ボート,boat
みずうみ,lake
むかし,old days
モーツアルト,Mozart
やま,mountain
よういする,preparation
れきし,history
れきしてきな,historical
あしくび,ankle
あたる,hit (intransitive)
い,stomach
いかだいがくいん,medical school
いっしょうけんめい,with all one's might
ウェブ,Web
うかる,"pass/succeed at (exam, class, etc.)"
うわぎ,jacket
かおいろ,"face color, complexion"
かぜぐすり,cold medicine
かた,shoulder
かならず,be sure to do something
かびん,vase
かべ,wall
かゆい,itchy
きぶん,"feelings, mood"
くしゃみする,sneeze
くび,neck
こし,"waist, hips"
こむ,get crowded
こんや,this evening
さがる,"come down, fall"
しかくい,square
しゅっせきする,attendance
しょうじ,shoji screen
せき,cough
せなか,back (body)
たいおんけい,thermometer
たおれる,fall over
たとえば,for example
チーズケーキ,cheesecake
ちゅうもんする,order
つれていく,take along (a person or animal)
ていしゅつする,submission
てくび,wrist
はながでる,have a runny nose
てんらんかい,exhibition
ど,X degree
どうろ,street
とにかく,anyway
なおす,"fix, repair, cure, put straight, correct"
なおる,recover
なかむら,Nakamura
にほんが,Japanese painting
ねつ,fever
バー,bar
はかる,measure
ひきうける,undertake
ひざ,knee
