Expression,Reading,Meaning,Sentences,Translation,Pitch,Picture,Audio
省略,しょうりゃく,"omission, abbreviation, ellipsis",,,,,
準備,じゅんび,"preparation, arrangements",,,,,
委員,いいん,committee member,,,,,
命令,めいれい,"order, command, decree, directive",,,,,
夕刊,ゆうかん,evening paper​,,,,,
焼く,やく,"to burn, roast, broil, grill, bake",,,,,
郷里,きょうり,"hometown, birthplace",,,,,
血圧,けつあつ,blood pressure,,,,,
差額,さがく,"balance, difference, margin",,,,,
印刷,いんさつ,impression,,,,,
池,いけ,pond,,,,,
大臣,だいじん,cabinet minister,,,,,
冷蔵庫,れいぞうこ,refrigerator,,,,,
農家,のうか,"farmer, farming family",,,,,
出版,しゅっぱん,publication,,,,,
恋人,こいびと,"lover, sweetheart",,,,,
羽,はね,"feather, plume, down, wing",,,,,
専攻,せんこう,"major subject, special study",,,,,
逆立ち,さかだち,"handstand, headstand, being upside down",,,,,
腕,うで,arm,,,,,
短い,みじかい,"short, briref",,,,,
普通,ふつう,"normal, ordinary, regular",,,,,
溶岩,ようがん,lava,,,,,
爆竹,ばくちく,firecracker,,,,,
育児,いくじ,"childcare, child-rearing",,,,,
毛布,もうふ,blanket,,,,,
出版,しゅっぱん,publication,,,,,
宇宙,うちゅう,"universe, cosmos, space",,,,,
状況,じょうきょう,"state of affairs, situation, conditions",,,,,
被害,ひがい,"damage, injury, harm",,,,,
海岸,かいがん,"coast, beach",,,,,
超過,ちょうか,"excess, being more than",,,,,
豊か,ゆたか,"abundant, plentiful, rich",,,,,
含める,ふくめる,"to include, instruct, put in",,,,,
植物,しょくぶつ,"plant, vegetation",,,,,
候補,こうほ,"candidate, contender, prospect",,,,,
暴力,ぼうりょく,"violence, mayhem",,,,,
科目,かもく,"subject, curriculum, course",,,,,
足跡,あしあと,footprints,,,,,
触る,さわる,"to touch, feel, get involved with",,,,,
玉,たま,"ball, sphere, globe, orb",,,,,
地震,じしん,earthquake,,,,,
一億,いちおく,one hundred million,,,,,
肩こり,かたこり,"stiff neck, stiff shoulders",,,,,
劇場,げきじょう,"theatre, theater, playhouse",,,,,
刺,とげ,"thorn, spine, prickle, splinter",,,,,
述べる,のべる,"to state, express, say, tell, mention",,,,,
指輪,ゆびわ,ring,,,,,
浅い,あさい,"shallow, superficial​",,,,,
単純,たんじゅん,"simple, plain, uncomplicated, straightforward",,,,,
薄い,うすい,"thin, pale, light, dilute",,,,,
大阪,おおさか,osaka,,,,,
韓国,かんこく,south korea,,,,,
固定,こてい,"fixing, securing, anchoring",,,,,
巨大,きょだい,"huge, gigantic, enormous",,,,,
講義,こうぎ,lecture,,,,,
一般,いっぱん,"general, universal, ordinary, common",,,,,
湯のみ,ゆのみ,teacup,,,,,
捨てる,すてる,"to throw away, cast away, damp, discard",,,,,
衣服,いふく,clothes,,,,,
代替,だいたい,"substitution, alternative, substitute",,,,,
中央,ちゅうおう,"centre, center, middle, heart",,,,,
骨折,こっせつ,bone fracture,,,,,
年齢,ねんれい,"age, years",,,,,
照明,しょうめい,"illumination, lighting",,,,,
大層,たいそう,"very, extremely, exceedingly, greatly, splendid",,,,,
弱い,よわい,"weak, frail, delicate, tender",,,,,
築く,きずく,"to build, construct, erect",,,,,
脳波,のうは,brain waves,,,,,
航空,こうくう,"aviation, flying",,,,,
快適,かいてき,"pleasant, agreeable, comfortable",,,,,
翌日,よくじつ,next day,,,,,
復旧,ふっきゅう,"restoration, restitution, rehabilitation",,,,,
鉛筆,えんぴつ,pencil,,,,,
換える,かえる,"to replace​, exchange, interchange",,,,,
群集,ぐんしゅう,"crowd, community, group, herd, gathering",,,,,
爆発,ばくはつ,"explosion, detonation, blast, blowing up",,,,,
捜索,そうさく,"search, manhunt",,,,,
油,あぶら,oil,,,,,
叫ぶ,さけぶ,"to shout, cry, scream",,,,,
伸ばす,のばす,"to grow long, lengthen, extend",,,,,
承諾,しょうだく,"consent, approval, acceptance, agreement, compliance",,,,,
雲,くも,cloud,,,,,
練る,ねる,"to knead, thicken into a paste, polish, refine, train",,,,,
紹介,しょうかい,"introduction, presentation, referral",,,,,
包む,つつむ,"to wrap up, pack, bundle, cover, conceal, hide",,,,,
官庁,かんちょう,"government office, government agency",,,,,
観測,かんそく,"observation, survey, measurement",,,,,
占める,しめる,"to occupy, hold",,,,,
混雑,こんざつ,"congestion, crowding, jam, disorder, confusion",,,,,
倍増,ばいぞう,"doubling, double",,,,,
牛乳,ぎゅうにゅう,cow’s milk,,,,,
荒い,あらい,"rough, wild, violent, rude, coarse, harsh",,,,,
詰らない,つまらない,"dull, uninteresting, boring, tedious​",,,,,
栄える,さかえる,"to prosper, flourish",,,,,
床,ゆか,"floor, stage",,,,,
規則,きそく,"rule, regulation",,,,,
禁煙,きんえん,"quitting smoking, prohibition of smoking",,,,,
順番,じゅんばん,"turn in line, order of things, sequential order",,,,,
枚数,まいすう,the number of flat things,,,,,
厚い,あつい,"thick, deep, heavy​, kind, cordial",,,,,
皮膚,ひふ,skin,,,,,
輸入,ゆにゅう,import,,,,,
濃い,こい,"deep, dark, strong, thick, dense",,,,,
簡単,かんたん,"simple, easy, uncomplicated, brief",,,,,
孫,まご,grandchild,,,,,
丈夫,じょうぶ,"healthy, robust, strong, solid, durable",,,,,
黄色,きいろ,"yellow, amber",,,,,
届ける,とどける,"to deliver, forward, send, report",,,,,
連絡,れんらく,"contact, getting in touch, connection",,,,,
採点,さいてん,"marking, grading, scoring",,,,,
傾向,けいこう,"tendency. trend, inclination",,,,,
鼻血,はなぢ,nosebleed,,,,,
宝石,ほうせき,"gem, jewel, precious stone",,,,,
患者,かんじゃ,patient,,,,,
延期,えんき,"postponement, deferment, adjournment",,,,,
法律,ほうりつ,law,,,,,
希薄,きはく,"thin, weak, dilute, sparse, lacking, deficient",,,,,
甘い,あまい,"sweet-tasting, sweet, sugary, sugared",,,,,
湾,わん,"gulf, bay, inlet",,,,,
沈む,しずむ,"to sink, go under, submerge",,,,,
販売,はんばい,"sales, selling, marketing",,,,,
欧米,おうべい,europe and america,,,,,
砂糖,さとう,sugar,,,,,
尊敬,そんけい,"respect, esteem, reverence, honour",,,,,
紅茶,こうちゃ,black tea,,,,,
複数,ふくすう,"plural, multiple, several​",,,,,
泊まる,とまる,"to stay at, be docked",,,,,
荷物,にもつ,"luggage, baggage, package​",,,,,
枝,えだ,"branch, bough, limb, twig",,,,,
依頼,いらい,"request, commission, entrusting",,,,,
幼い,おさない,"very young, little, childish, immature",,,,,
斬新,ざんしん,"novel, original, new, innovative",,,,,
勇気,ゆうき,"courage, bravery, valour, valor, nerve, boldnes",,,,,
上昇,じょうしょう,"rising,, ascending, climbing",,,,,
寿命,じゅみょう,life span,,,,,
野菜,やさい,vegetable,,,,,
季節,きせつ,"season, time of year",,,,,
液体,えきたい,liquid,,,,,
定期券,ていきけん,"commuter pass, season ticket​",,,,,
祭日,さいじつ,"national holiday, festival day",,,,,
手袋,てぶくろ,"glove, mitten, mitt",,,,,
燃える,もえる,"to burn, get fired up",,,,,
消毒,しょうどく,"disinfection, sterilization, sterilisation",,,,,
改札,かいさつ,examination of tickets,,,,,
狙う,ねらう,"to aim at, have an eye on",,,,,
脇,わき,"armpit, beside, aside, off-track",,,,,
卒業,そつぎょう,graduation,,,,,
副作用,ふくさよう,"side effect, adverse reaction​",,,,,
敬語,けいご,honorific,,,,,
針,はり,"needle, pin, hook, stinger",,,,,
拝見,はいけん,"seeing, looking at​",,,,,
浴びる,あびる,"to dash over oneself, take shower",,,,,
悩む,なやむ,"to be worried, be troubled",,,,,
汚い,きたない,"dirty, filthy, foul, unclean, disorder",,,,,
灯台,とうだい,lighthouse,,,,,
赤ん坊,あかんぼう,"baby, infant",,,,,
尻,しり,buttocks,,,,,
涙,なみだ,"tear, tears, sympathy",,,,,
停電,ていでん,"power outage, electricity outage",,,,,
完了,かんりょう,"completion, conclusion",,,,,
汗,あせ,"sweat, perspiration",,,,,
郵便局,ゆうびんきょく,post office,,,,,
幅,はば,"width, breadth",,,,,
童話,どうわ,"children's story, fairy tale",,,,,
虫,むし,"insect, bug, cricket, moth",,,,,
埋める,うめる,"to bury, fill up, plug, bridge, fill, make up for, cover",,,,,
小舟,こぶね,small boat​,,,,,
闇,やみ,"darkness, the dark, bewilderment, black market",,,,,
泥棒,どろぼう,"thief, burglar, robber",,,,,
硬貨,こうか,"coin, hard currency",,,,,
肌着,はだぎ,"underwear, underclothes, lingerie",,,,,
心臓,しんぞう,heart,,,,,
塩,しお,salt,,,,,
平均,へいきん,"average, mean, balance, equilibrium",,,,,
湖,みずうみ,lake,,,,,
損害,そんがい,"damage, injury, loss",,,,,
膝,ひざ,knee,,,,,
香辛料,こうしんりょう,"spice, spices, condiment",,,,,
双子,ふたご,twins,,,,,
軒,のき,eaves,,,,,
成績,せいせき,"results, record, grades, marks",,,,,
干す,ほす,"to air, dry, desiccate, drain",,,,,
姓,せい,"surname, family name",,,,,
掘る,ほる,"to dig, excavate, hollow",,,,,
国籍,こくせき,"nationality, citizenship",,,,,
珍しい,めずらしい,"unusual, rare, curious",,,,,
訓練,くんれん,"training, drill, practice, discipline",,,,,
預金,よきん,"deposit, bank account",,,,,
署名,しょめい,signature,,,,,
漁師,りょうし,fisherman,,,,,
緑茶,りょくちゃ,green tea,,,,,
畳,たたみ,tatami mat,,,,,
咲く,さく,"to flower, bloom, blossom, open",,,,,
貿易,ぼうえき,foreign trade,,,,,
踊る,おどる,to dance ,,,,,
封筒,ふうとう,envelope,,,,,
兆し,きざし,"sign, indication, omen, symptom",,,,,
電柱,でんちゅう,"utility pole, power pole",,,,,
駐車場,ちゅうしゃじょう,parking lot,,,,,
祝日,しゅくじつ,"national holiday, public holiday",,,,,
石炭,せきたん,coal,,,,,
柔らかい,やわらかい,"soft, tender, gentle, mild, flexible",,,,,
雇う,やとう,"to employ, hire",,,,,
乾燥,かんそう,"dryness, aridity, drying, dehydration, desiccation",,,,,
鋭い,するどい,"sharp, pointed, keen, nimble",,,,,
氷,こおり,ice,,,,,
隅,すみ,"corner, nook, recess",,,,,
冊,さつ,counter for books,,,,,
糸,いと,"thread, yarn, string",,,,,
募集,ぼしゅう,recruitment,,,,,
硬い,かたい,"hard, solid, tough​, stiff, tight, strong, firm",,,,,
塗る,ぬる,"to paint, plaster, lacquer, varnish, spread",,,,,
憎む,にくむ,"to hate, detest",,,,,
泥,どろ,"mud, slush, wet dirt, mire",,,,,
脂,あぶら,"fat, tallow, lard, grease​",,,,,
粉,こな,"flour, meal, powder, dust",,,,,
動詞,どうし,verb,,,,,
封筒,ふうとう,envelope,,,,,
掃除,そうじ,"cleaning, sweeping, dusting, scrubbing",,,,,
塔,とう,"tower, steeple, spire, pagoda",,,,,
賢い,かしこい,"wise, clever, smart",,,,,
拾う,ひろう,"to pick up, gather, find, pick out",,,,,
小麦,こむぎ,wheat,,,,,
刷る,する,to print,,,,,
卵,たまご,egg,,,,,
機械,きかい,"machine, mechanism",,,,,
皿,さら,"plate, dish, platter, disc, serving",,,,,
祈る,いのる,"to pray, wish, hope",,,,,
灰色,はいいろ,"grey, gray, ashen",,,,,
召す,めす,"to call, summon, send for",,,,,
溶液,ようえき,liquid solution,,,,,
磨く,みがく,"to polish, shine, brush, refine, improve",,,,,
粒,つぶ,"grain, bead, drop",,,,,
喫茶店,きっさてん,coffee shop,,,,,
机,つくえ,desk,,,,,
貯金,ちょきん,"putting money aside, savings, deposit ",,,,,
匹,ひき,counter for small animals​,,,,,
綿,めん,cotton,,,,,
贈り物,おくりもの,"present, gift",,,,,
凍る,こおる,"to freeze, be frozen over, congeal",,,,,
花瓶,かびん,flower vase,,,,,
帽子,ぼうし,"hat, cap",,,,,
涼しい,すずしい,"cool, refreshing",,,,,
秒速,びょうそく,"speed per second, instant, moment",,,,,
湿度,しつど,level of humidity,,,,,
蒸気,じょうき,"steam, vapour, vapor​",,,,,
菓子,かし,"confectionery, sweets",,,,,
耕す,たがやす,"to till, plow, plough, cultivate",,,,,
鉱物,こうぶつ,mineral,,,,,
皮膚,ひふ,skin,,,,,
胃痛,いつう,stomach-ache,,,,,
挟む,はさむ,"to hold between, grip, put between, insert",,,,,
郊外,こうがい,suburb,,,,,
銅貨,どうか,copper coin​,,,,,
鈍い,にぶい,"dull, blunt",,,,,
貝殻,かいがら,seashell,,,,,
缶詰,かんづめ,"canned food, tinned food",,,,,
枯れる,かれる,"to wither, die, mature",,,,,
滴,しずく,"drop, drip",,,,,
切符,きっぷ,ticket,,,,,
家畜,かちく,"domestic animals, livestock, cattle",,,,,
軟らかい,やわらかい,"soft, tender, gentle, mild, flexible",,,,,
洗濯,せんたく,"washing, laundry",,,,,
隻,せき,"counter for ships, half of a pair",,,,,
伺う,うかがう,"to call on someone, pay a visit, ask, inquire, hear, implore, speak",,,,,
沸かす,わかす,"to boil, heat up, excite, melt",,,,,
曇る,くもる,"to get cloudy, cloud up, become overcast, be gloomy",,,,,
肯定,こうてい,affirmation,,,,,
乾燥,かんそう,"dryness, aridity, drying, dehydration",,,,,
零,れい,zero,,,,,
軍事,ぐんじ,military affairs,,,,,
兵器,へいき ,"arms, weapon",,,,,
島国,しまぐに ,island country​,,,,,
村人,むらびと,villager,,,,,
専門家,せんもんか,"specialist, expert",,,,,
瀬戸物,せともの,"earthenware, porcelain",,,,,
武士,ぶし,"warrior, samurai",,,,,
古城,こじょう,old castle,,,,,
総合,そうごう,"synthesis, combination",,,,,
集団,しゅうだん,"group, mass",,,,,
光線,こうせん,"beam, light ray",,,,,
設立,せつりつ,"establishment, founding",,,,,
勢力,せいりょく,"influence, power",,,,,
与党,よとう,ruling party,,,,,
史上,しじょう,historical,,,,,
経営,けいえい,management,,,,,
府庁,ふちょう,"prefectural office (Osaka, Kyoto)",,,,,
巻末,かんまつ,end of a book,,,,,
介入,かいにゅう,intervention,,,,,
貯蔵,ちょぞう,"storage, preservation",,,,,
造船,ぞうせん,shipbuilding,,,,,
垣根,かきね,"hedge, fence",,,,,
寺,てら,temple,,,,,
検査,けんさ,inspection,,,,,
将軍,しょうぐん,general,,,,,
改める,あらためる,"to change, alter, reform",,,,,
県知事,けんちじ,prefectural governor​,,,,,
源泉,げんせん,source of a spring,,,,,
現像,げんぞう,"film development, photo processing",,,,,
細かい,こまかい,"small, fine, minute",,,,,
谷間,たにま,"valley, ravine, gorge",,,,,
奥行き,おくゆき,"depth, length",,,,,
再建,さいけん,"rebuilding , reconstruction",,,,,
血圧,けつあつ,blood pressure,,,,,
予算,よさん,"estimate of cost, budget",,,,,
現象,げんしょう,phenomenon,,,,,
清掃,せいそう,"cleaning, clean-up",,,,,
技師,ぎし,"engineer, technician​",,,,,
州都,しゅうと,state capital,,,,,
占領,せんりょう,occupying,,,,,
鉄橋,てっきょう,"railway bridge, iron bridge",,,,,
園芸,えんげい,"horticulture, gardening",,,,,
典型,てんけい,"type, pattern, model",,,,,
香水,こうすい,"perfume, scent",,,,,
測量,そくりょう,"measurement, surveying",,,,,
永久,えいきゅう,eternity,,,,,
環境,かんきょう,"environment, circumstance",,,,,
階級,かいきゅう,social class,,,,,
地区,ちく,"district, section, sector​",,,,,
電波,でんぱ,"radio wave, reception, signal",,,,,
移る,うつる,"to move, transfer",,,,,
領域,りょういき,"area, domain, territory, field",,,,,
周囲,しゅうい,"surroundings, environs",,,,,
面接,めんせつ,interview,,,,,
鉄道,てつどう,"railroad, railway",,,,,
近頃,ちかごろ,"lately, recently, nowadays",,,,,
材料,ざいりょう,"materials, ingredients",,,,,
個性,こせい,"individuality, personality",,,,,
協力,きょうりょく,cooperation,,,,,
格別,かくべつ,"particular, special, exceptional",,,,,
包帯,ほうたい,"bandage, dressing",,,,,
経歴,けいれき,"personal history, career",,,,,
編集,へんしゅう,"editing, compilation",,,,,
裏返す,うらがえす,to turn inside out,,,,,
比例,ひれい,proportion,,,,,
坂道,さかみち,hill road,,,,,
包装,ほうそう,"packing, wrapping",,,,,
省く,はぶく,"to omit, leave out, exclude, curtail",,,,,
関税,かんぜい,"tariff, import tax, duty, customs",,,,,
競う,きそう,"to compete, contend, vie",,,,,
周囲,しゅうい,"surroundings, environs",,,,,
周辺,しゅうへん,"circumference; outskirts, around",,,,,
河川,かせん,rivers,,,,,
極める,きわめる,to carry to extremes,,,,,
防ぐ,ふせぐ,"to defend against, to protect against",,,,,
最低,さいてい,"least, lowest, minimum",,,,,
密林,みつりん,"close thicket, dense forest, jungle",,,,,
導く,みちびく,"to guide, lead, show the way",,,,,
森林,しんりん,"forest, woods",,,,,
丸める,まるめる,"to make round, roll up, curl up",,,,,
度胸,どきょう,"courage, bravery, grit",,,,,
着陸,ちゃくりく,"landing, alighting, touch down",,,,,
治療,ちりょう,"treatment, care, therapy, cure",,,,,
諸島,しょとう,"archipelago, group of islands",,,,,
管理,かんり,"control, management",,,,,
仲良し,なかよし,"intimate friend, close friend",,,,,
革,かわ,leather,,,,,
担当,たんとう,being in charge,,,,,
効く,きく,"to be effective, take effect",,,,,
鑑賞,かんしょう,"appreciation (of art, music, poetry, etc.)​",,,,,
星,ほし,star,,,,,
回復,かいふく,"restoration, rehabilitation, recovery",,,,,
片付ける,かたづける,"to tidy up, put in order",,,,,
並べる,ならべる,"to line up, set up, arrange in a line",,,,,
徹底,てってい,"thoroughness, completeness, consistency",,,,,
温泉,おんせん,hot spring,,,,,
軽率,けいそつ,"rash, thoughtless, careless, hasty",,,,,
録音,ろくおん,audio recording​,,,,,
腰掛ける,こしかける,to sit down,,,,,
著す,あらわす,"to write, publish",,,,,
乱用,らんよう,"abuse, misuse",,,,,
勲章,くんしょう,"decoration, order, medal",,,,,
神殿,しんでん,"temple, sacred place, shrine",,,,,
毛布,もうふ,blanket,,,,,
街角,まちかど,street corner,,,,,
仏,ほとけ,buddha,,,,,
永久,えいきゅう,"eternity, permanence, perpetuity​",,,,,
日誌,にっし,"journal, log",,,,,
減らす,へらす,"to abate, decrease, diminish",,,,,
略語,りゃくご,"abbreviation, acronym",,,,,
水準,すいじゅん,"level, standard, water level",,,,,
委託,いたく,"entrusting, consignment",,,,,
指令,しれい,"orders, instructions, directive, command",,,,,
新刊,しんかん,"new book, new publication",,,,,
日焼け,ひやけ,"sunburn, suntan",,,,,
里帰り,さとがえり,returning home to one's parents,,,,,
圧縮,あっしゅく,"compression, condensing, shortening",,,,,
金額,きんがく,sum of money,,,,,
印象,いんしょう,impression,,,,,
電池,でんち,"battery, cell",,,,,
総理大臣,そうりだいじん,prime minister,,,,,
車庫,しゃこ,"garage, carport",,,,,
農業,のうぎょう,agriculture,,,,,
板,いた,"board, plank​",,,,,
恋愛,れんあい,"love, love-making, passion",,,,,
羽毛,うもう,"feathers, plumage, down",,,,,
専用,せんよう,"exclusive use, private use, personal use",,,,,
逆らう,さからう,"to go against, oppose, disobey, defy",,,,,
腕前,うでまえ,"ability, skill, facility",,,,,
短期,たんき,short-term,,,,,
普段,ふだん,"usual, normal, everyday",,,,,
岩石,がんせき,rock,,,,,
竹の子,たけのこ,bamboo shoot,,,,,
幼児,ようじ,"young child, toddler",,,,,
毛皮,けがわ,"fur, skin, pelt",,,,,
初版,しょはん,first edition,,,,,
宇宙空間,うちゅうくうかん,outer space,,,,,
苦境,くきょう,difficult situation,,,,,
被せる,かぶせる,"to cover, put on",,,,,
沿岸,えんがん,"coast, shore, littoral",,,,,
超越,ちょうえつ,transcendence,,,,,
豊富,ほうふ,"abundant, plentiful, rich",,,,,
含む,ふくむ,"to contain, comprise, have, hold",,,,,
植える,うえる,"to plant, grow, raise, transplant, implant",,,,,
補う,おぎなう,"to supplement, make up for, compensate",,,,,
暴れる,あばれる,"to act violently, rage, struggle",,,,,
日課,にっか,"daily routine, daily work, daily lesson",,,,,
遺跡,いせき,"remains, ruins, relics",,,,,
触れる,ふれる,"to touch, feel, touch with",,,,,
目玉,めだま,eyeball,,,,,
震える,ふるえる,"to shiver, shake, quake, tremble",,,,,
数億年,すうおくねん,several hundred million years​,,,,,
肩書き,かたがき,"title, degree, status, rank",,,,,
演劇,えんげき,"drama, theatre, theater, play",,,,,
刺激,しげき,"stimulus, stimulation, irritation",,,,,
記述,きじゅつ,"description, account",,,,,
車輪,しゃりん,wheel,,,,,
浅はか,あさはか,"shallow, superficial, thoughtless, short-sighted",,,,,
純粋,じゅんすい,"pure, true, genuine, unmixed​",,,,,
薄れる,うすれる,"to fade, to become dim",,,,,
京阪,けいはん,kyoto and osaka,,,,,
韓国語,かんこくご,korean language,,,,,
固体,こたい,"solid, solid matter, solid-state",,,,,
巨額,きょがく,huge sum,,,,,
講堂,こうどう,"auditorium, lecture hall",,,,,
全般的,ぜんぱんてき,"general, overall, across-the-board",,,,,
湯気,ゆげ,"steam, vapour, vapor",,,,,
使い捨て,つかいすて,"throwaway, disposable, single-use",,,,,
衣類,いるい,"clothes, clothing, garments",,,,,
取り替える,とりかえる,"to exchange, swap, barter, replace",,,,,
中央政府,ちゅうおうせいふ,central government,,,,,
露骨,ろこつ,"open, unconcealed, undisguised",,,,,
高齢者,こうれいしゃ,"old person, elderly person",,,,,
照らす,てらす,"to shine on, illuminate, refer to",,,,,
階層,かいそう,"class, level, stratum, layer, hierarchy",,,,,
弱点,じゃくてん,"weak point, weakness, shortcoming, defect, flaw",,,,,
建築,けんちく,"construction, architecture of buildings",,,,,
脳卒中,のうそっちゅう,"stroke, cerebral haemorrhage",,,,,
航海,こうかい,"sea voyage, navigation, sailing",,,,,
快い,こころよい,"pleasant, agreeable, comfortable, refreshing",,,,,
翌朝,よくあさ,next morning,,,,,
旧式,きゅうしき,"old type, old style",,,,,
筆,ふで,"writing brush, paintbrush, pen",,,,,
乗り換える,のりかえる,"to transfer (trains), change (bus, train)",,,,,
群がる,むらがる,"to swarm, gather",,,,,
爆弾,ばくだん,bomb,,,,,
捜査,そうさ,"search, investigation, inquiry",,,,,
醤油,しょうゆ,soy sauce,,,,,
叫び声,さけびごえ,"shout, yell, scream",,,,,
伸びる,のびる,"to stretch, extend, lengthen, straighten out",,,,,
承知,しょうち,"knowledge, awareness, acceptance",,,,,
暗雲,あんうん,dark clouds,,,,,
練習,れんしゅう,"practice, training, drill",,,,,
紹介状,しょうかいじょう,letter of introduction,,,,,
包装,ほうそう,"packing, wrapping",,,,,
気象庁,きしょうちょう,japanese meteorological agency,,,,,
測定,そくてい,measurement,,,,,
独占,どくせん,"monopoly, monopolization, exclusivity",,,,,
混ぜる,まぜる,"to mix, stir, blend",,,,,
倍額,ばいがく,double amount,,,,,
乳房,ちぶさ,breast,,,,,
荒らす,あらす,"to lay waste, devastate, damage, invade, troll",,,,,
詰める,つめる,"to stuff into, jam, cram, pack, fill, shorten, reduce",,,,,
栄える,はえる,"to shine, glow, look attractive",,,,,
床屋,とこや,barbershop,,,,,
法則,ほうそく,"law, rule",,,,,
禁止,きんし,"prohibition, inhibition, ban",,,,,
順調,じゅんちょう,"favourable, favorable, doing well",,,,,
一枚岩,いちまいいわ,"monolith, large slab of rock",,,,,
濃厚,のうこう,"rich, strong, heavy, thick",,,,,
毛皮,けがわ,"fur, skin, pelt",,,,,
