Expression,Reading,Meaning,Sentences,Translation,Pitch,Picture,Audio
宗派,しゅうは,"sect, denomination",,,,,
提出,ていしゅつ,"presentation, submission",,,,,
昭昭,しょうしょう,"clear, bright, obvious",,,,,
密接,みっせつ,"close, intimate, near",,,,,
上司,じょうし,"superior, boss",,,,,
検査,けんさ,"inspection, test, check, scan",,,,,
健康保険,けんこうほけん,health insurance,,,,,
贅沢,ぜいたく,"luxury, extravagance​",,,,,
秀でる,ひいでる,"to excel, surpass",,,,,
振興,しんこう,"promotion, encouragement",,,,,
軽率,けいそつ,"rash, thoughtless, careless",,,,,
批評,ひひょう,"criticism, critique, review",,,,,
監視,かんし,"monitoring, watching, observation",,,,,
長崎,ながさき,Nagasaki,,,,,
鮮やか,あざやか,"vivid, bright, brilliant, clear",,,,,
刺激,しげき,"stimulus, stimulation, irritation",,,,,
悪徳,あくとく,"vice, immorality, corruption",,,,,
選挙,せんきょ,election,,,,,
志向,しこう,"intention, aim, preference for",,,,,
敷設,ふせつ,"laying, construction",,,,,
系統,けいとう,"system, lineage, ancestry",,,,,
織る,おる,to weave,,,,,
製造,せいぞう,"manufacture, production​",,,,,
極端,きょくたん,"extreme, extremity",,,,,
遺言,ゆいごん,"will, testament​",,,,,
文房具,ぶんぼうぐ,stationery,,,,,
市街,しがい,"urban areas, the streets, town",,,,,
尻尾,しっぽ,"tail, tail end, tip",,,,,
株価,かぶか,stock prices,,,,,
従業員,じゅうぎょういん,"employee, worker​",,,,,
匹敵,ひってき,"to be a match for, to rival, to equal",,,,,
展覧会,てんらんかい,exhibition,,,,,
描写,びょうしゃ,"depiction, description, portrayal",,,,,
修める,おさめる,"to study, complete, master",,,,,
自我,じが,"self, the ego",,,,,
記載,きさい,"mention, record, entry",,,,,
反響,はんきょう,"echo, reverberation",,,,,
秘める,ひめる,"to hide, keep to oneself",,,,,
攻める,せめる,"to attack,  assault, assail​",,,,,
保健,ほけん,"preservation of health, hygiene, sanitation",,,,,
裁判,さいばん,"trial, judgement, judgment​",,,,,
隠れる,かくれる,"to hide, be hidden",,,,,
循環,じゅんかん,"circulation, rotation, cycle",,,,,
応援,おうえん,"aid, assistance, help, support",,,,,
故障,こしょう,"fault, trouble, breakdown, failure",,,,,
字幕,じまく,"subtitles, captioning",,,,,
督促,とくそく,"urge, demand, importunity",,,,,
倉敷,くらしき,kurashiki city,,,,,
施設,しせつ,"institution, establishment, facility​",,,,,
嫌がる,いやがる,"to appear uncomfortable, seem to hate",,,,,
継続,けいぞく,continuation,,,,,
障害,しょうがい,"obstacle, impediment, hindrance",,,,,
貴重品,きちょうひん,"valuable article, valuables",,,,,
整える,ととのえる,"to put in order, arrange, tidy up",,,,,
公衆,こうしゅう,general public,,,,,
新郎,しんろう,bridegroom,,,,,
結ぶ,むすぶ,"to tie, bind, link ",,,,,
氏族,しぞく,"clan, family",,,,,
防衛,ぼうえい,"defense, protection",,,,,
第一位,だいいちい,first place,,,,,
保険,ほけん,insurance,,,,,
義塾,ぎじゅく,private school,,,,,
吉兆,きっちょう,lucky omen,,,,,
同士,どうし,fellow,,,,,
藤色,ふじいろ,light purple​,,,,,
油井,ゆせい,oil well,,,,,
江湖,こうこ,"the public, world",,,,,
拡張,かくちょう,"expansion, extension",,,,,
赤松,あかまつ,japanese red pine,,,,,
応急,おうきゅう,"emergency, first-aid",,,,,
視察,しさつ,"inspection, observation",,,,,
状態,じょうたい,"state, condition",,,,,
容姿,ようし,physical appearance ,,,,,
皇帝,こうてい,emperor,,,,,
迷宮,めいきゅう,"labyrinth, maze",,,,,
距離,きょり,"distance, range, interval​",,,,,
基本,きほん,"basics, fundamentals",,,,,
連隊,れんたい,regiment,,,,,
元素,げんそ,element,,,,,
評価,ひょうか,"valuation, appraisal",,,,,
衝撃,しょうげき,"shock, impact, crash",,,,,
振興,しんこう,"promotion, encouragement",,,,,
認証,にんしょう,certification,,,,,
派生,はせい,derivation,,,,,
僕たち,ぼくたち,we,,,,,
大佐,たいさ,colonel,,,,,
紀元前,きげんぜん,"pre-era, bc.",,,,,
統制,とうせい,"regulation, control​",,,,,
食器,しょっき,tableware,,,,,
差異,さい,"difference, disparity, gap",,,,,
弁護,べんご,"defense, defence, pleading",,,,,
信条,しんじょう,"creed, belief, conviction",,,,,
独特,どくとく,"peculiarity, uniqueness, characteristic​",,,,,
起源,きげん,"origin, beginning, source",,,,,
影響,えいきょう,"influence, effect, impact",,,,,
肉眼,にくがん,naked eye,,,,,
企画,きかく,"planning, plan, project",,,,,
津液,しんえき,"saliva, spit",,,,,
案外,あんがい,"unexpectedly, surprisingly",,,,,
失策,しっさく,"blunder, slip, error",,,,,
宗門,しゅうもん,"denomination, sect",,,,,
提供,ていきょう,"offer, tender, providing, donating",,,,,
昭示,しょうじ, explicit statement,,,,,
厳密,げんみつ,"strict, close, precise",,,,,
司る,つかさどる,"to rule, govern, administer​",,,,,
検閲,けんえつ,censorship,,,,,
健康的,けんこうてき,"hygienic, healthy",,,,,
沢,さわ,"mountain stream, wetlands",,,,,
秀作,しゅうさく,excellent work,,,,,
興す,おこす,"to vitalize, invigorate, energize",,,,,
率いる,ひきいる,"to lead, spearhead",,,,,
評判,ひょうばん,"reputation, estimation, popularity",,,,,
監禁,かんきん,confinement,,,,,
宮崎県,みやざきけん,Miyazaki prefecture,,,,,
鮮烈,せんれつ,"vivid, striking",,,,,
急激,きゅうげき,"sudden, abrupt, rapid, sharp",,,,,
美徳,びとく,virtue,,,,,
挙句,あげく,"after a long process, at the end of",,,,,
志望,しぼう,"wish, desire, ambition",,,,,
座敷,ざしき,tatami mat room,,,,,
生態系,せいたいけい,ecosystem,,,,,
組織的,そしきてき,"systematic, organized",,,,,
精製,せいせい,"refining, purification",,,,,
端末,たんまつ,terminal,,,,,
遺伝,いでん,"heredity, inheritance",,,,,
乳房,ちぶさ,breast,,,,,
商店街,しょうてんがい,shopping district,,,,,
最後尾,さいこうび,"tail end, rear, backmost part",,,,,
株主,かぶぬし,"shareholder, stockholder",,,,,
従える,したがえる,"to be accompanied by, be attended by",,,,,
敵意,てきい,"hostility, animosity, enmity",,,,,
展開,てんかい,"development, evolution, progression",,,,,
絵を描く,えをかく,to paint (draw) a picture,,,,,
修正,しゅうせい,"amendment, correction, revision",,,,,
我々,われわれ,we,,,,,
搭載,とうさい,"loading, equipping",,,,,
影響,えいきょう,"influence, effect, impact",,,,,
秘訣,ひけつ,"secret (method, trick), key",,,,,
専攻,せんこう,"major subject, special study",,,,,
健やか,すこやか,"vigorous, healthy, sound",,,,,
制裁,せいさい,"sanctions, punishment",,,,,
隠居,いんきょ,retirement,,,,,
一環,いっかん,"link, chain, part",,,,,
救援,きゅうえん,"relief, rescue",,,,,
故郷,ふるさと,"hometown, birthplace",,,,,
開幕,かいまく,"raising the curtain, start",,,,,
総督,そうとく,governor-general,,,,,
穀倉,こくそう,granary,,,,,
施す,ほどこす,"to give, donate, do, perform, apply",,,,,
機嫌,きげん,"humor, temper, mood",,,,,
継承,けいしょう,"inheritance, succession, accession",,,,,
障る,さわる,"to be harmful to, hinder, interfere with",,,,,
貴社,きしゃ,your company,,,,,
調整,ちょうせい,"adjustment, regulation, coordination",,,,,
観衆,かんしゅう,"spectators, onlookers",,,,,
