Word,Level
入れる,5
渡る,5
なるほど,4
男性,4
決まる,4
気持ち,4
喜ぶ,4
鳴る,4
ビル,4
汚れる,4
聞こえる,4
なるべく,4
危険,4
湯,4
医学,4
釣る,4
レジ,4
会話,4
降り出す,4
下がる,4
下げる,4
まいる,4
踊り,4
柔らかい,4
盗む,4
時代,4
痩せる,4
葉,4
だいぶ,4
倍,4
建てる,4
会議室,4
会議,4
たいてい,4
講堂,4
用事,4
必要,4
場合,4
郊外,4
場所,4
用,4
会場,4
用意,4
硬い,4
スーツ,4
スーツケース,4
必ず,4
講義,4
だいたい,4
尋ねる,4
起こす,4
アフリカ,4
味,4
二階建て,4
返事,4
漫画,4
一生懸命,4
だから,4
堅,4
熱,4
厳しい,4
ちゃん,4
立てる,4
規則,4
ちっとも,4
治る,4
濡れる,4
治す,4
泥棒,4
教会,4
そんな,4
心,4
それに,4
それほど,4
それで,4
オートバイ,4
代わり,4
遠慮,4
寝坊,4
やっと,4
柔道,4
打つ,4
十分,4
漬ける,4
新聞社,4
森,4
謝る,4
旅館,4
あんな,4
地震,4
具合,4
下着,4
すり,4
産業,4
正しい,4
首,4
寄る,4
草,4
工業,4
毛,4
泊まる,4
とうとう,4
米,4
星,4
高等学校,4
割合,4
苦い,4
答え,4
沸く,4
コンピュータ,4
別れる,4
絹,4
壊れる,4
下宿,4
店員,4
壊す,4
展覧会,4
エスカレーター,4
高校,4
高校生,4
研究,4
研究室,4
おかしい,4
畳,4
特に,4
社長,4
特急,4
坂,4
看護師,4
一杯,4
おっしゃる,4
社会,4
西洋,4
ケーキ,4
留守,4
驚く,4
調べる,4
興味,4
道具,4
捨てる,4
鏡,4
知らせる,4
政治,4
ピアノ,4
レポート,4
味噌,4
おかげ,4
港,4
なくなる,4
夢,4
お見舞い,4
眠る,4
眠い,4
運ぶ,4
探す,4
アジア,4
校長,4
ご馳走,4
ご存じ,4
両方,4
おいでになる,4
怖い,4
運転手,4
込む,4
ファックス,4
申す,4
泳ぎ方,4
残念,4
お礼,4
木綿,4
ガラス,4
お釣り,4
うん,4
空港,4
貿易,4
しばらく,4
残る,4
自由,4
ご主人,4
送る,4
別,4
空気,4
壁,4
アクセサリー,4
ガソリンスタンド,4
ガソリン,4
ガス,4
復習,4
触る,4
つもり,4
落ちる,4
伝える,4
棚,4
暮れる,4
合う,4
表,4
点,4
見える,4
景色,4
スクリーン,4
席,4
石,4
昔,4
反対,4
飾る,4
祖母,4
植える,4
祖父,4
お祝い,4
いたす,4
技術,4
形,4
申し上げる,4
不便,4
特別,4
どんどん,4
地理,4
深い,4
恥ずかしい,4
いらっしゃる,4
タイプ,4
布団,4
行う,4
焼く,4
焼ける,4
遅れる,4
贈り物,4
カーテン,4
押し入れ,4
番組,4
ベル,4
届ける,4
砂,4
お土産,4
差し上げる,4
林,4
神社,4
ソフト,4
消しゴム,4
中学校,4
お宅,4
夫,4
パート,4
着物,4
ワープロ,4
お嬢さん,4
生活,4
しっかり,4
生産,4
かける,4
楽しみ,4
楽しむ,4
適当,4
僕,4
仕方,4
雲,4
戻る,4
生きる,4
隅,4
安全,4
はず,4
安心,4
慣れる,4
利用,4
沸かす,4
テニス,4
騒ぐ,4
払う,4
田舎,4
止む,4
食料品,4
複雑,4
やめる,4
止める,4
客,4
選ぶ,4
枝,4
経済,4
売り場,4
