Time,Time.Read,Time.Trans,House,House.Read,House.Trans,Person,Person.Read,Person.Trans,Family,Family.Read,Family.Trans,Body,Body.Read,Body.Trans,Personality,Personality.Read,Personality.Trans,Food,Food.Read,Food.Trans,Feels,Feels.Read,Feels.Trans
,,,電気スタンド,でんきスタンド,table lamp,成人,せいじん,"adult, grownup",夫人,ふじん,wife,静脈,じょうみゃく,vein,落ち着いた,おちついた,calm,酢豚,すぶた,sweet-and-sour pork,,,
,,,引き出し,ひきだし,drawer,未成年,みせいねん,minor,奥様,おくさま,wife,血,ち,blood,カリスマ性がある,カリスマせいがある,charismatic,冷奴,ひややっこ,cold tofu,,,
,,,本棚,ほんだな,book shelf,老人,ろうじん,old people,主人,しゅじん,one's husband,血液,けつえき,blood,活気のある,かっきのある,energetic,吸物 ,すいもの,clear broth soup,,,
,,,エレベーター,エレベーター,elevator,自身,じしん,oneself,配偶者,はいぐうしゃ,"spouse, wife, husband, partner",血管,けっかん,blood vessel,心大きい,こころおおきい,generous,出し汁,だしじる,"broth, stock, sauce",,,
,,,ドア,ドア,door,本人,ほんにん,the person himself,長男,ちょうなん,eldest son,消化系,しょうかけい,digestive system,血あり涙あり,ちありなみだあり,sympathetic,,,,,,
,,,机,つくえ,desk,自ら,みずから,oneself,次男,じなん,second son,呼吸器系,こきゅうきけい,respiratory system,思いやりのある,おもいやりのある,thoughtful,,,,,,
,,,浴室,よくしつ,bathroom,者,もの,person,三男,さんなん,third son,神経系,しんけいけい,nervous system,物分かりのいい,ものわかりのいい,understanding,,,,,,
,,,お手洗い,おてあらい,washroom,人物,じんぶつ,people,長女,ちょうじょ,eldest daughter,骨格,こっかく,"skeleton, skeletal structure",気分屋,きぶんや,moody,,,,,,
,,,トイレ,トイレ,toilet,美人,びじん,beautiful woman,次女,じじょ,second daughter,脳,のう,brain,ロマンチック,ロマンチック,romantic,,,,,,
,,,シャワー,シャワー,shower,人ごみ,ひとごみ,crowd of people,親戚,しんせき,"relative, relation, kin​",肺,はい,lungs,尻が重い,しりがおもい,lazy,,,,,,
,,,お風呂,おふろ,bathtub,大衆,たいしゅう,"general public, the masses",親類,しんるい,"relative, relation, kin​",心臓,しんぞう,heart,おっちょこちょい,おっちょこちょい,careless,,,,,,
,,,浴槽,よくそう,bathtub,少年,しょうねん,boy,親族,しんぞく,"relative, relation",腎臓,じんぞう,kidneys,ケチ,ケチ,shabby,,,,,,
,,,便器,べんき,toilet bowl,少女,しょうじょ,girl,孫,まご,grandchild,腸,ちょう,intestines,大人しい,おとなしい,"obedient, docile, quiet",,,,,,
,,,入浴する,にゅうよくする,to bathe,青年,せいねん,youth,子孫,しそん,descendant,肝臓,かんぞう,liver,,,,,,,,,
,,,,,,中年,ちゅうねん,middle-aged,先祖,せんぞ,"ancestor, forefather",左腕,さわん,left arm,,,,,,,,,
,,,,,,女子,じょし,"woman, girl",祖先,そせん,ancestor,右腕,みぎうで,right arm,,,,,,,,,
,,,,,,男子,だんし,"man, boy",,,,,,,,,,,,,,,
,,,,,,高齢者,こうれいしゃ,"old person, elderly person, senior citizen",,,,,,,,,,,,,,,
,,,,,,住民,じゅうみん,"inhabitant, resident, citizen",,,,,,,,,,,,,,,
,,,,,,通行人,つうこうにん,passerby,,,,,,,,,,,,,,,
,,,,,,前身,ぜんしん,"antecedents, ancestor, predecessor",,,,,,,,,,,,,,,
