Word,Reading,Meaning
動向,どうこう,"trend, tendency"
志向,しこう,preference
転向,てんこう,"conversion, shift"
出向く,でむく,"to go to, proceed to"
出向,しゅっこう,"relocation, temporary transfer"
対向,たいこう,"counter-, corresponding"
真っ向,まっこう,directly opposite
平和,へいわ,"peace, harmony"
公平,こうへい,fairness
平日,へいじつ,weekday
水平,すいへい,"horizontal, level"
平気,へいき,"cool, calm, composed, fine"
平凡,へいぼん,"ordinary, common"
平たい,ひらたい,"flat, even, level, plain"
平方,へいほう,square
平衡,へいこう,"even scale, equilibrium"
成るべく,なるべく,as much as possible
成長,せいちょう,"growth, development"
成績,せいせき,"results, record, grades"
完成,かんせい,"completion, perfection"
構成,こうせい,"composition, construction"
成人,せいじん,"adult, grownup"
作成,さくせい,"making, drawing up"
成立,せいりつ,"formation, establishment"
成分,せいぶん,"ingredient, component"
達成,たっせい,"achievement, attainment"
成果,せいか,"result, outcome"
形成,けいせい,"formation, molding"
経済,けいざい,"economy, economics"
経験,けいけん,experience
神経,しんけい,nerves
経度,けいど,longitude
経営,けいえい,"management, administration"
経由,けいゆ,"going through, going via"
経歴,けいれき,"personal history, career"
経費,けいひ,"expenses, expenditure"
経過,けいか,"passage of time, elapse"
経路,けいろ,"course, route, path"
経営者,けいえいしゃ,"manager, proprietor"
神経質,しんけいしつ,nervousness
無神経,むしんけい,insensitive
信仰,しんこう,"faith, belief"
迷信,めいしん,superstition
自信,じしん,self-confidence
信用,しんよう,confidence. trust
通信,つうしん,"communication, transmission"
確信,かくしん,"conviction, belief"
信者,しんじゃ,believer
信念,しんねん,"belief, faith"
信号機,しんごうき,traffic light
通信衛星,つうしんえいせい,communication satellite
受信,じゅしん,"receiving, reception"
返信,へんしん,"reply, answer"
信頼性,しんらいせい,"credibility, authenticity"
送信,そうしん,"transmission, sending​"
交信,こうしん,telecommunications
背信,はいしん,"betrayal, infidelity"
不信,ふしん,"distrust, mistrust, disbelief"
威信,いしん,"prestige, dignity"
面積,めんせき,"area measurement, square measure"
面会,めんかい,"meeting, seeing, interview"
斜面,しゃめん,"slope, slanting surface"
面倒,めんどう,"trouble, bother"
場面,ばめん,"scene, setting"
真面目,まじめ,"serious, earnest, honest"
方面,ほうめん,"direction, district, area"
正面,しょうめん,"front, frontage, facade"
直面,ちょくめん,confrontation
側面,そくめん,"side, flank, profile"
覆面,ふくめん,"mask, veil, disguise"
面する,めんする,to face on
几帳面,きちょうめん,"methodical, precise, meticulous"
海面,かいめん,sea level
図面,ずめん,"drawing, diagram"
赤面,せきめん,blushing
連絡,れんらく,contacting
連続,れんぞく,continuation
連合,れんごう,"union, combination"
連中,れんちゅう,"company, lot, bunch"
一連,いちれん,"series, chain, sequence"
連休,れんきゅう,consecutive holidays
連帯,れんたい,solidarity
連日,れんじつ,day after day
連盟,れんめい,"league, federation"
連結,れんけつ,"concatenation, coupling"
連隊,れんたい,regiment
連敗,れんぱい,consecutive defeats
連勝,れんしょう,consecutive victories
連動,れんどう,working together
連立,れんりつ,"coalition, alliance"
連発,れんぱつ,running or firing continuously
連載,れんさい,serialization
連鎖,れんさ,"chain, series, connection"
連れて行く,つれていく,take someone to
連れてくる,つれてくる,bring someone along
連絡先,れんらくさき,contact address​
常連,じょうれん,regular customer;
連ねる,つらねる,"to line up, put in a row, add"
連なる,つらなる,"to extend, stretch out, attend, enrol"
